"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_0425","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",NA
"ASV_0426","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV_0427","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Dethiosulfatibacteraceae","Dethiosulfatibacter",NA
"ASV_0428","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002",NA
"ASV_0429","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0430","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_0431","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA
"ASV_0432","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","vadosa"
"ASV_0433","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronovibrionaceae","Desulfonatronovibrio",NA
"ASV_0434","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV_0435","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003",NA
"ASV_0436","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0437","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0438","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0439","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0440","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV_0441","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV_0442","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Cyanobacteriaceae","Geminocystis PCC-6308",NA
"ASV_0443","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0444","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV_0445","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0446","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0447","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"ASV_0448","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV_0449","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV_0450","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum",NA
"ASV_0451","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV_0452","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",NA
"ASV_0453","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0454","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0455","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV_0456","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0457","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0458","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA
"ASV_0459","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_0460","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseinatronobacter",NA
"ASV_0461","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Schlegelella",NA
"ASV_0462","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,NA,NA
"ASV_0463","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","Family III","Thermoanaerobacterium",NA
"ASV_0464","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV_0465","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV_0466","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",NA
"ASV_0467","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Quinella",NA
"ASV_0468","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0469","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0470","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",NA
"ASV_0471","Bacteria","Coprothermobacterota","Coprothermobacteria","Coprothermobacterales","Coprothermobacteraceae","Coprothermobacter","proteolyticus"
"ASV_0472","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV_0473","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0474","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV_0475","Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,NA
"ASV_0476","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0477","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0478","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV_0479","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV_0480","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0481","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV_0482","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Nissabacter",NA
"ASV_0483","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0484","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV_0485","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Fournierella",NA
"ASV_0486","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Desulfitispora",NA
"ASV_0487","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0488","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0489","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","ML635J-40 aquatic group",NA,NA
"ASV_0490","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV_0491","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0492","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0493","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_0494","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0495","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0496","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA
"ASV_0497","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV_0498","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 12","luticellarii"
"ASV_0499","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azoarcus",NA
"ASV_0500","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0501","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylosinus","sporium"
"ASV_0502","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Caproiciproducens",NA
"ASV_0503","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0504","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA
"ASV_0505","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA
"ASV_0506","Bacteria","Firmicutes","Clostridia","MAT-CR-H4-C10",NA,NA,NA
"ASV_0507","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Soehngenia",NA
"ASV_0508","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales",NA,NA,NA
"ASV_0509","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"ASV_0510","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Anaeroplasma",NA
"ASV_0511","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV_0512","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae",NA,NA
"ASV_0513","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV_0514","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0515","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0516","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",NA
"ASV_0517","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV_0518","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-003",NA
"ASV_0519","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",NA
"ASV_0520","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV_0521","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV_0522","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0523","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA
"ASV_0524","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0525","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group",NA
"ASV_0526","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0527","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group",NA
"ASV_0528","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ventriosum group",NA
"ASV_0529","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 12",NA
"ASV_0530","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",NA
"ASV_0531","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Fournierella",NA
"ASV_0532","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Dethiosulfatibacteraceae","Dethiosulfatibacter",NA
"ASV_0533","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum",NA
"ASV_0534","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0535","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0536","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","SRB2",NA,NA
"ASV_0537","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0538","Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Desulfitispora",NA
"ASV_0539","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix",NA
"ASV_0540","Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales",NA,NA,NA
"ASV_0541","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV_0542","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae",NA,NA
"ASV_0543","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,NA
"ASV_0544","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0545","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV_0546","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","flavida"
"ASV_0547","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA
"ASV_0548","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus Cardinium",NA
"ASV_0549","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0550","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA
"ASV_0551","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0552","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV_0553","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0554","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA
"ASV_0555","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] torques group",NA
"ASV_0556","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0557","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA
"ASV_0558","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Hungateiclostridium","thermocellum"
"ASV_0559","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,NA
"ASV_0560","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0561","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0562","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA
"ASV_0563","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Thermoclostridium","caenicola"
"ASV_0564","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV_0565","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0566","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV_0567","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Thermoclostridium",NA
"ASV_0568","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0569","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","EUB33-2",NA
"ASV_0570","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-003",NA
"ASV_0571","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0572","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0573","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","ramosum"
"ASV_0574","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfonatronaceae","Desulfonatronum",NA
"ASV_0575","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV_0576","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV_0577","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA
"ASV_0578","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV_0579","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"ASV_0580","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea",NA
"ASV_0581","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia",NA
"ASV_0582","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae",NA,NA
"ASV_0583","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Arsenophonus",NA
"ASV_0584","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Neokomagataea",NA
"ASV_0585","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Methyloversatilis","universalis"
"ASV_0586","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","buryatense"
"ASV_0587","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",NA
"ASV_0588","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV_0589","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","aurantiacus"
"ASV_0590","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Caproiciproducens",NA
"ASV_0591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola",NA
"ASV_0592","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Natronincola",NA,NA
"ASV_0593","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"ASV_0594","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASV_0595","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,NA
"ASV_0596","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0597","Bacteria","Firmicutes","Bacilli","RF39",NA,NA,NA
"ASV_0598","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA
"ASV_0599","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",NA
"ASV_0600","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0601","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0602","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA
"ASV_0603","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV_0604","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV_0605","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA
"ASV_0606","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0607","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum",NA
"ASV_0608","Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitalea",NA
"ASV_0609","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA
"ASV_0610","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",NA,NA
"ASV_0611","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Zymobacter",NA
"ASV_0612","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV_0613","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,NA
"ASV_0614","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix",NA
"ASV_0615","Bacteria","Firmicutes","Clostridia","Proteinivoracales",NA,NA,NA
"ASV_0616","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae","Nitrincola","lacisaponensis"
"ASV_0617","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0618","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_0619","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Alkalispirochaeta",NA
"ASV_0620","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","bambusae"
"ASV_0621","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"ASV_0622","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA
"ASV_0623","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_0624","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA
"ASV_0625","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",NA,NA
"ASV_0626","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0627","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0628","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9",NA
"ASV_0629","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae",NA,NA
"ASV_0630","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","inops"
"ASV_0631","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA
"ASV_0632","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcus","capsulatus"
"ASV_0633","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales",NA,NA,NA
"ASV_0634","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV_0635","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"ASV_0636","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","salmoneum"
"ASV_0637","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"ASV_0638","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA
"ASV_0639","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","yeongjuensis"
"ASV_0640","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ethanoligenenaceae","Ethanoligenens",NA
"ASV_0641","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae",NA,NA
